trial,pair_ID,condition,set_number,within_trial,pair_similarity
13,29,3,2,5,0.3846153846153846
14,29,3,2,6,0.3846153846153846
15,29,3,2,7,0.6923076923076923
16,29,3,2,8,0.6153846153846154
1,30,3,1,1,0.6153846153846154
2,30,3,1,2,0.3846153846153846
3,30,3,1,3,0.23076923076923073
4,30,3,1,4,0.3846153846153846
5,30,3,1,5,0.46153846153846156
6,30,3,1,6,0.3076923076923077
7,30,3,1,7,0.5384615384615384
8,30,3,1,8,0.3846153846153846
9,30,3,2,1,0.23076923076923073
10,30,3,2,2,0.6153846153846154
11,30,3,2,3,0.6153846153846154
12,30,3,2,4,0.46153846153846156
13,30,3,2,5,0.46153846153846156
14,30,3,2,6,0.6153846153846154
15,30,3,2,7,0.6153846153846154
16,30,3,2,8,0.6153846153846154
1,31,3,1,1,0.46153846153846156
2,31,3,1,2,0.3846153846153846
3,31,3,1,3,0.6153846153846154
4,31,3,1,4,0.3076923076923077
5,31,3,1,5,0.3846153846153846
6,31,3,1,6,0.5384615384615384
7,31,3,1,7,0.46153846153846156
8,31,3,1,8,0.7692307692307692
9,31,3,2,1,0.3846153846153846
10,31,3,2,2,0.46153846153846156
11,31,3,2,3,0.3076923076923077
12,31,3,2,4,0.46153846153846156
13,31,3,2,5,0.3076923076923077
14,31,3,2,6,0.46153846153846156
15,31,3,2,7,0.5384615384615384
16,31,3,2,8,0.3846153846153846
1,32,3,1,1,0.46153846153846156
2,32,3,1,2,0.5384615384615384
3,32,3,1,3,0.5384615384615384
4,32,3,1,4,0.46153846153846156
5,32,3,1,5,0.6153846153846154
6,32,3,1,6,0.46153846153846156
7,32,3,1,7,0.46153846153846156
8,32,3,1,8,0.6153846153846154
9,32,3,2,1,0.23076923076923073
10,32,3,2,2,0.3076923076923077
11,32,3,2,3,0.3846153846153846
12,32,3,2,4,0.23076923076923073
13,32,3,2,5,0.23076923076923073
14,32,3,2,6,0.3076923076923077
15,32,3,2,7,0.3076923076923077
16,32,3,2,8,0.46153846153846156
1,33,3,1,1,0.23076923076923073
2,33,3,1,2,0.5384615384615384
3,33,3,1,3,0.7692307692307692
4,33,3,1,4,0.5384615384615384
5,33,3,1,5,0.7692307692307692
6,33,3,1,6,0.5384615384615384
7,33,3,1,7,0.5384615384615384
8,33,3,1,8,0.6153846153846154
9,33,3,2,1,0.46153846153846156
10,33,3,2,2,0.7692307692307692
11,33,3,2,3,0.46153846153846156
12,33,3,2,4,0.7692307692307692
13,33,3,2,5,0.5384615384615384
14,33,3,2,6,0.6153846153846154
15,33,3,2,7,0.46153846153846156
16,33,3,2,8,0.6153846153846154
1,34,3,1,1,0.3076923076923077
2,34,3,1,2,0.5384615384615384
3,34,3,1,3,0.6153846153846154
4,34,3,1,4,0.6153846153846154
5,34,3,1,5,0.6153846153846154
6,34,3,1,6,0.6923076923076923
7,34,3,1,7,0.3076923076923077
8,34,3,1,8,0.3076923076923077
9,34,3,2,1,0.3076923076923077
10,34,3,2,2,0.23076923076923073
11,34,3,2,3,0.15384615384615385
12,34,3,2,4,0.23076923076923073
13,34,3,2,5,0.5384615384615384
14,34,3,2,6,0.3846153846153846
15,34,3,2,7,0.46153846153846156
16,34,3,2,8,0.46153846153846156
1,35,3,1,1,0.23076923076923073
2,35,3,1,2,0.46153846153846156
3,35,3,1,3,0.3076923076923077
4,35,3,1,4,0.15384615384615385
5,35,3,1,5,0.3846153846153846
6,35,3,1,6,0.3076923076923077
7,35,3,1,7,0.3846153846153846
8,35,3,1,8,0.3076923076923077
9,35,3,2,1,0.46153846153846156
10,35,3,2,2,0.23076923076923073
11,35,3,2,3,0.3076923076923077
12,35,3,2,4,0.46153846153846156
13,35,3,2,5,0.3846153846153846
14,35,3,2,6,0.3076923076923077
15,35,3,2,7,0.3846153846153846
16,35,3,2,8,0.3846153846153846
1,36,3,1,1,0.46153846153846156
2,36,3,1,2,0.6153846153846154
3,36,3,1,3,0.46153846153846156
4,36,3,1,4,0.3846153846153846
5,36,3,1,5,0.3076923076923077
6,36,3,1,6,0.3846153846153846
7,36,3,1,7,0.46153846153846156
8,36,3,1,8,0.23076923076923073
9,36,3,2,1,0.5384615384615384
10,36,3,2,2,0.46153846153846156
11,36,3,2,3,0.5384615384615384
12,36,3,2,4,0.5384615384615384
13,36,3,2,5,0.46153846153846156
14,36,3,2,6,0.46153846153846156
15,36,3,2,7,0.46153846153846156
16,36,3,2,8,0.6153846153846154
1,37,3,1,1,0.46153846153846156
2,37,3,1,2,0.3076923076923077
3,37,3,1,3,0.3846153846153846
4,37,3,1,4,0.5384615384615384
5,37,3,1,5,0.3076923076923077
6,37,3,1,6,0.5384615384615384
7,37,3,1,7,0.3846153846153846
8,37,3,1,8,0.5384615384615384
9,37,3,2,1,0.5384615384615384
10,37,3,2,2,0.5384615384615384
11,37,3,2,3,0.5384615384615384
12,37,3,2,4,0.3076923076923077
13,37,3,2,5,0.0
14,37,3,2,6,0.15384615384615385
15,37,3,2,7,0.07692307692307687
16,37,3,2,8,0.07692307692307687
1,38,3,1,1,0.3076923076923077
2,38,3,1,2,0.5384615384615384
3,38,3,1,3,0.5384615384615384
4,38,3,1,4,0.46153846153846156
5,38,3,1,5,0.6153846153846154
6,38,3,1,6,0.3846153846153846
7,38,3,1,7,0.46153846153846156
8,38,3,1,8,0.3076923076923077
9,38,3,2,1,0.3846153846153846
10,38,3,2,2,0.5384615384615384
11,38,3,2,3,0.3846153846153846
12,38,3,2,4,0.3076923076923077
13,38,3,2,5,0.3076923076923077
14,38,3,2,6,0.46153846153846156
15,38,3,2,7,0.46153846153846156
16,38,3,2,8,0.3076923076923077
1,39,3,1,1,0.3076923076923077
2,39,3,1,2,0.6153846153846154
3,39,3,1,3,0.5384615384615384
4,39,3,1,4,0.46153846153846156
5,39,3,1,5,0.3846153846153846
6,39,3,1,6,0.6923076923076923
7,39,3,1,7,0.7692307692307692
8,39,3,1,8,0.6153846153846154
9,39,3,2,1,0.46153846153846156
10,39,3,2,2,0.5384615384615384
11,39,3,2,3,0.5384615384615384
12,39,3,2,4,0.3846153846153846
13,39,3,2,5,0.6153846153846154
14,39,3,2,6,0.6153846153846154
15,39,3,2,7,0.5384615384615384
16,39,3,2,8,0.5384615384615384
1,40,3,1,1,0.3076923076923077
2,40,3,1,2,0.3846153846153846
3,40,3,1,3,0.46153846153846156
4,40,3,1,4,0.3846153846153846
5,40,3,1,5,0.3846153846153846
6,40,3,1,6,0.46153846153846156
7,40,3,1,7,0.46153846153846156
8,40,3,1,8,0.46153846153846156
9,40,3,2,1,0.3076923076923077
10,40,3,2,2,0.23076923076923073
11,40,3,2,3,0.23076923076923073
12,40,3,2,4,0.3076923076923077
